,DateNum
237,20230601
238,20230602
239,20230603
240,20230604
241,20230605
242,20230606
243,20230607
244,20230608
245,20230609
246,20230610
247,20230611
248,20230612
249,20230613
250,20230614
251,20230615
252,20230616
253,20230617
254,20230618
255,20230619
256,20230620
257,20230621
258,20230622
259,20230623
260,20230624
261,20230625
262,20230626
263,20230627
264,20230628
265,20230629
266,20230630
267,20230701
268,20230702
269,20230703
270,20230704
271,20230705
272,20230706
273,20230707
274,20230708
275,20230709
276,20230710
277,20230711
278,20230712
279,20230713
280,20230714
281,20230715
282,20230716
283,20230717
284,20230718
285,20230719
286,20230720
287,20230721
288,20230722
289,20230723
290,20230724
291,20230725
292,20230726
293,20230727
294,20230728
295,20230729
296,20230730
297,20230731
298,20230801
299,20230802
300,20230803
301,20230804
302,20230805
303,20230806
304,20230807
305,20230808
306,20230809
307,20230810
308,20230811
309,20230812
310,20230813
311,20230814
312,20230815
313,20230816
314,20230817
315,20230818
316,20230819
317,20230820
318,20230821
319,20230822
320,20230823
321,20230824
322,20230825
323,20230826
324,20230827
325,20230828
326,20230829
327,20230830
328,20230831
329,20230901
330,20230902
331,20230903
332,20230904
333,20230905
334,20230906
335,20230907
336,20230908
337,20230909
338,20230910
339,20230911
340,20230912
341,20230913
342,20230914
343,20230915
344,20230916
345,20230917
346,20230918
347,20230919
348,20230920
349,20230921
350,20230922
351,20230923
352,20230924
353,20230925
354,20230926
355,20230927
356,20230928
357,20230929
358,20230930
359,20231001
360,20231002
361,20231003
362,20231004
363,20231005
364,20231006
365,20231007
366,20231008
367,20231009
368,20231010
369,20231011
370,20231012
371,20231013
372,20231014
373,20231015
374,20231016
375,20231017
376,20231018
377,20231019
378,20231020
379,20231021
380,20231022
381,20231023
382,20231024
383,20231025
384,20231026
385,20231027
386,20231028
387,20231029
388,20231030
389,20231031
390,20231101
391,20231102
392,20231103
393,20231104
394,20231105
395,20231106
396,20231107
397,20231108
398,20231109
399,20231110
400,20231111
401,20231112
402,20231113
403,20231114
404,20231115
405,20231116
406,20231117
407,20231118
408,20231119
409,20231120
410,20231121
411,20231122
412,20231123
413,20231124
414,20231125
415,20231126
416,20231127
417,20231128
418,20231129
419,20231130
420,20231201
421,20231202
422,20231203
423,20231204
424,20231205
425,20231206
426,20231207
427,20231208
428,20231209
429,20231210
430,20231211
431,20231212
432,20231213
433,20231214
434,20231215
435,20231216
436,20231217
437,20231218
438,20231219
439,20231220
440,20231221
441,20231222
442,20231223
443,20231224
444,20231225
445,20231226
446,20231227
447,20231228
448,20231229
449,20231230
450,20231231
451,20240101
452,20240102
453,20240103
454,20240104
455,20240105
456,20240106
457,20240107
458,20240108
459,20240109
460,20240110
461,20240111
462,20240112
463,20240113
464,20240114
465,20240115
466,20240116
467,20240117
468,20240118
469,20240119
470,20240120
471,20240121
472,20240122
473,20240123
474,20240124
475,20240125
476,20240126
477,20240127
478,20240128
479,20240129
480,20240130
481,20240131
482,20240201
483,20240202
484,20240203
485,20240204
486,20240205
487,20240206
488,20240207
489,20240208
490,20240209
491,20240210
492,20240211
493,20240212
494,20240213
495,20240214
496,20240215
497,20240216
498,20240217
499,20240218
500,20240219
501,20240220
502,20240221
503,20240222
504,20240223
505,20240224
506,20240225
507,20240226
508,20240227
509,20240228
510,20240229
511,20240301
512,20240302
513,20240303
514,20240304
515,20240305
516,20240306
517,20240307
518,20240308
519,20240309
520,20240310
521,20240311
522,20240312
523,20240313
524,20240314
525,20240315
526,20240316
527,20240317
528,20240318
529,20240319
530,20240320
531,20240321
532,20240322
533,20240323
534,20240324
535,20240325
536,20240326
537,20240327
538,20240328
539,20240329
540,20240330
541,20240331
542,20240401
543,20240402
544,20240403
545,20240404
546,20240405
547,20240406
548,20240407
549,20240408
550,20240409
551,20240410
552,20240411
553,20240412
554,20240413
555,20240414
556,20240415
557,20240416
558,20240417
559,20240418
560,20240419
561,20240420
562,20240421
563,20240422
564,20240423
565,20240424
566,20240425
567,20240426
568,20240427
569,20240428
570,20240429
571,20240430
572,20240501
573,20240502
574,20240503
575,20240504
576,20240505
577,20240506
578,20240507
579,20240508
580,20240509
581,20240510
582,20240511
583,20240512
584,20240513
585,20240514
586,20240515
587,20240516
588,20240517
589,20240518
590,20240519
591,20240520
592,20240521
593,20240522
594,20240523
595,20240524
596,20240525
597,20240526
598,20240527
599,20240528
600,20240529
601,20240530
602,20240531
603,20240601
604,20240602
605,20240603
606,20240604
607,20240605
608,20240606
609,20240607
610,20240608
611,20240609
612,20240610
613,20240611
614,20240612
615,20240613
616,20240614
617,20240615
618,20240616
619,20240617
620,20240618
621,20240619
622,20240620
623,20240621
624,20240622
625,20240623
626,20240624
627,20240625
628,20240626
629,20240627
630,20240628
631,20240629
632,20240630
633,20240701
634,20240702
635,20240703
636,20240704
637,20240705
638,20240706
639,20240707
640,20240708
641,20240709
642,20240710
643,20240711
644,20240712
645,20240713
646,20240714
647,20240715
648,20240716
649,20240717
650,20240718
651,20240719
652,20240720
653,20240721
654,20240722
655,20240723
656,20240724
657,20240725
658,20240726
659,20240727
660,20240728
661,20240729
662,20240730
663,20240731
664,20240801
665,20240802
666,20240803
667,20240804
668,20240805
669,20240806
670,20240807
671,20240808
672,20240809
673,20240810
674,20240811
675,20240812
676,20240813
677,20240814
678,20240815
679,20240816
680,20240817
681,20240818
682,20240819
683,20240820
684,20240821
685,20240822
686,20240823
687,20240824
688,20240825
689,20240826
690,20240827
691,20240828
692,20240829
693,20240830
694,20240831
695,20240901
696,20240902
697,20240903
698,20240904
699,20240905
700,20240906
701,20240907
702,20240908
703,20240909
704,20240910
705,20240911
706,20240912
707,20240913
708,20240914
709,20240915
710,20240916
711,20240917
712,20240918
713,20240919
714,20240920
715,20240921
716,20240922
717,20240923
718,20240924
719,20240925
720,20240926
721,20240927
722,20240928
723,20240929
724,20240930
725,20241001
726,20241002
727,20241003
728,20241004
729,20241005
730,20241006
731,20241007
732,20241008
733,20241009
734,20241010
735,20241011
736,20241012
737,20241013
738,20241014
739,20241015
740,20241016
741,20241017
742,20241018
743,20241019
744,20241020
745,20241021
746,20241022
747,20241023
748,20241024
749,20241025
750,20241026
751,20241027
752,20241028
753,20241029
754,20241030
755,20241031
756,20241101
757,20241102
758,20241103
759,20241104
760,20241105
761,20241106
762,20241107
763,20241108
764,20241109
765,20241110
766,20241111
767,20241112
768,20241113
769,20241114
770,20241115
771,20241116
772,20241117
773,20241118
774,20241119
775,20241120
776,20241121
777,20241122
778,20241123
779,20241124
780,20241125
781,20241126
782,20241127
783,20241128
784,20241129
785,20241130
786,20241201
787,20241202
788,20241203
789,20241204
790,20241205
791,20241206
792,20241207
793,20241208
794,20241209
795,20241210
796,20241211
797,20241212
798,20241213
799,20241214
800,20241215
801,20241216
802,20241217
803,20241218
804,20241219
805,20241220
806,20241221
807,20241222
808,20241223
809,20241224
810,20241225
811,20241226
812,20241227
813,20241228
814,20241229
815,20241230
816,20241231
817,20250101
818,20250102
819,20250103
820,20250104
821,20250105
822,20250106
823,20250107
824,20250108
825,20250109
826,20250110
827,20250111
828,20250112
829,20250113
830,20250114
831,20250115
832,20250116
833,20250117
834,20250118
835,20250119
836,20250120
837,20250121
838,20250122
839,20250123
840,20250124
841,20250125
842,20250126
843,20250127
844,20250128
845,20250129
846,20250130
847,20250131
848,20250201
849,20250202
850,20250203
851,20250204
852,20250205
853,20250206
854,20250207
855,20250208
856,20250209
857,20250210
858,20250211
859,20250212
860,20250213
861,20250214
862,20250215
863,20250216
864,20250217
865,20250218
866,20250219
867,20250220
868,20250221
869,20250222
870,20250223
871,20250224
872,20250225
873,20250226
874,20250227
875,20250228
Sum,"DateNum
20230601    101.0
20230602    101.0
20230603    101.0
20230604    101.0
20230605    101.0
            ...  
20250224      0.0
20250225      0.0
20250226      0.0
20250227      0.0
20250228      0.0
Name: Sum, Length: 639, dtype: float64"
